WGT,WGT^2,WGT^3,WGT^4,WGT^5,WGT^6,WGT^7,WGT^8,ALT,ALT^2,ALT^3,ALT^4,ALT^5,ALT^6,ALT^7,ALT^8,ROC
2191751.337,4.80377E+12,1.05287E+19,2.30762E+25,5.05774E+31,1.10853E+38,2.42962E+44,5.32513E+50,34303,1176695809,4.03642E+13,1.38461E+18,4.74964E+22,1.62927E+27,5.58888E+31,1.91715E+36,933
2191480.721,4.80259E+12,1.05248E+19,2.30648E+25,5.05462E+31,1.10771E+38,2.42752E+44,5.31987E+50,34492,1189698064,4.10351E+13,1.41538E+18,4.88193E+22,1.68388E+27,5.80803E+31,2.0033E+36,909
2191205.226,4.80138E+12,1.05208E+19,2.30533E+25,5.05144E+31,1.10687E+38,2.42539E+44,5.31452E+50,34680,1202702400,4.17097E+13,1.44649E+18,5.01644E+22,1.7397E+27,6.03328E+31,2.09234E+36,885
2190923.828,4.80015E+12,1.05168E+19,2.30414E+25,5.0482E+31,1.10602E+38,2.42321E+44,5.30907E+50,34869,1215847161,4.23954E+13,1.47828E+18,5.15463E+22,1.79737E+27,6.26724E+31,2.18532E+36,860
2190636.571,4.79889E+12,1.05126E+19,2.30293E+25,5.04489E+31,1.10515E+38,2.42099E+44,5.3035E+50,35057,1228993249,4.30848E+13,1.51042E+18,5.29509E+22,1.8563E+27,6.50764E+31,2.28138E+36,834
2190342.431,4.7976E+12,1.05084E+19,2.3017E+25,5.0415E+31,1.10426E+38,2.41871E+44,5.29781E+50,35246,1242280516,4.37854E+13,1.54326E+18,5.43938E+22,1.91716E+27,6.75723E+31,2.38165E+36,803
2190038.51,4.79627E+12,1.0504E+19,2.30042E+25,5.03801E+31,1.10334E+38,2.41636E+44,5.29193E+50,35434,1255568356,4.44898E+13,1.57645E+18,5.586E+22,1.97934E+27,7.0136E+31,2.4852E+36,771
2189725.746,4.7949E+12,1.04995E+19,2.29911E+25,5.03441E+31,1.1024E+38,2.41395E+44,5.28589E+50,35623,1268998129,4.52055E+13,1.61036E+18,5.73657E+22,2.04354E+27,7.2797E+31,2.59325E+36,738
2189401.24,4.79348E+12,1.04948E+19,2.29774E+25,5.03068E+31,1.10142E+38,2.41145E+44,5.27962E+50,35811,1282427721,4.5925E+13,1.64462E+18,5.88955E+22,2.10911E+27,7.55292E+31,2.70478E+36,704
2189063.97,4.792E+12,1.049E+19,2.29633E+25,5.02681E+31,1.1004E+38,2.40885E+44,5.27312E+50,36000,1296000000,4.6656E+13,1.67962E+18,6.04662E+22,2.17678E+27,7.83642E+31,2.82111E+36,669
1972316.547,3.89003E+12,7.67238E+18,1.51324E+25,2.98458E+31,5.88653E+37,1.16101E+44,2.28988E+50,36000,1296000000,4.6656E+13,1.67962E+18,6.04662E+22,2.17678E+27,7.83642E+31,2.82111E+36,1013
1972178.301,3.88949E+12,7.67076E+18,1.51281E+25,2.98353E+31,5.88406E+37,1.16044E+44,2.2886E+50,36105,1303571025,4.70654E+13,1.6993E+18,6.13531E+22,2.21515E+27,7.99782E+31,2.88761E+36,899
1972032.193,3.88891E+12,7.66906E+18,1.51236E+25,2.98243E+31,5.88144E+37,1.15984E+44,2.28724E+50,36211,1311236521,4.74812E+13,1.71934E+18,6.22591E+22,2.25446E+27,8.16364E+31,2.95613E+36,883
1971883.164,3.88832E+12,7.66732E+18,1.51191E+25,2.9813E+31,5.87878E+37,1.15923E+44,2.28586E+50,36316,1318851856,4.78954E+13,1.73937E+18,6.3167E+22,2.29397E+27,8.33079E+31,3.02541E+36,867
1971733.154,3.88773E+12,7.66557E+18,1.51145E+25,2.98017E+31,5.8761E+37,1.15861E+44,2.28447E+50,36421,1326489241,4.83121E+13,1.75957E+18,6.40854E+22,2.33406E+27,8.50086E+31,3.0961E+36,850
1971581.184,3.88713E+12,7.6638E+18,1.51098E+25,2.97902E+31,5.87338E+37,1.15798E+44,2.28306E+50,36526,1334148676,4.87311E+13,1.77995E+18,6.50146E+22,2.37472E+27,8.67391E+31,3.16823E+36,834
1971426.255,3.88652E+12,7.66199E+18,1.5105E+25,2.97785E+31,5.87061E+37,1.15735E+44,2.28163E+50,36632,1341903424,4.91566E+13,1.8007E+18,6.59634E+22,2.41637E+27,8.85165E+31,3.24254E+36,817
1971269.384,3.8859E+12,7.66016E+18,1.51002E+25,2.97666E+31,5.86781E+37,1.1567E+44,2.28017E+50,36737,1349607169,4.95805E+13,1.82144E+18,6.69142E+22,2.45823E+27,9.03079E+31,3.31764E+36,800
1971109.572,3.88527E+12,7.6583E+18,1.50953E+25,2.97546E+31,5.86495E+37,1.15605E+44,2.27869E+50,36842,1357332964,5.00069E+13,1.84235E+18,6.7876E+22,2.50069E+27,9.21303E+31,3.39426E+36,783
1970947.8,3.88464E+12,7.65641E+18,1.50904E+25,2.97424E+31,5.86207E+37,1.15538E+44,2.2772E+50,36947,1365080809,5.04356E+13,1.86345E+18,6.88487E+22,2.54375E+27,9.39841E+31,3.47243E+36,765
1970783.069,3.88399E+12,7.65449E+18,1.50853E+25,2.97299E+31,5.85913E+37,1.15471E+44,2.27568E+50,37053,1372924809,5.0871E+13,1.88492E+18,6.9842E+22,2.58786E+27,9.58879E+31,3.55293E+36,748
1970615.416,3.88333E+12,7.65254E+18,1.50802E+25,2.97173E+31,5.85614E+37,1.15402E+44,2.27413E+50,37158,1380716964,5.13047E+13,1.90638E+18,7.08372E+22,2.63217E+27,9.78062E+31,3.63428E+36,730
1970443.842,3.88265E+12,7.65054E+18,1.5075E+25,2.97044E+31,5.85308E+37,1.15332E+44,2.27255E+50,37263,1388531169,5.17408E+13,1.92802E+18,7.18438E+22,2.67711E+27,9.97573E+31,3.71726E+36,713
1970270.307,3.88197E+12,7.64852E+18,1.50697E+25,2.96913E+31,5.84999E+37,1.15261E+44,2.27094E+50,37368,1396367424,5.21795E+13,1.94984E+18,7.28617E+22,2.7227E+27,1.01742E+32,3.80188E+36,695
1970091.853,3.88126E+12,7.64644E+18,1.50642E+25,2.96778E+31,5.84681E+37,1.15187E+44,2.2693E+50,37474,1404300676,5.26248E+13,1.97206E+18,7.3901E+22,2.76937E+27,1.03779E+32,3.88902E+36,676
1969910.477,3.88055E+12,7.64433E+18,1.50586E+25,2.96642E+31,5.84358E+37,1.15113E+44,2.26763E+50,37579,1412181241,5.30684E+13,1.99426E+18,7.49421E+22,2.81625E+27,1.05832E+32,3.97706E+36,658
1969725.18,3.87982E+12,7.64217E+18,1.5053E+25,2.96502E+31,5.84028E+37,1.15038E+44,2.26592E+50,37684,1420083856,5.35144E+13,2.01664E+18,7.5995E+22,2.8638E+27,1.07919E+32,4.06683E+36,639
1969534.982,3.87907E+12,7.63996E+18,1.50472E+25,2.96359E+31,5.8369E+37,1.1496E+44,2.26417E+50,37789,1428008521,5.3963E+13,2.03921E+18,7.70596E+22,2.91201E+27,1.10042E+32,4.15837E+36,621
1969339.864,3.8783E+12,7.63769E+18,1.50412E+25,2.96212E+31,5.83343E+37,1.1488E+44,2.26238E+50,37895,1436031025,5.44184E+13,2.06219E+18,7.81465E+22,2.96136E+27,1.12221E+32,4.25261E+36,602
1969139.863,3.87751E+12,7.63536E+18,1.50351E+25,2.96062E+31,5.82988E+37,1.14798E+44,2.26054E+50,38000,1444000000,5.4872E+13,2.08514E+18,7.92352E+22,3.01094E+27,1.14416E+32,4.34779E+36,582
1790710.966,3.20665E+12,5.74218E+18,1.02826E+25,1.84131E+31,3.29726E+37,5.90444E+43,1.05731E+50,38000,1444000000,5.4872E+13,2.08514E+18,7.92352E+22,3.01094E+27,1.14416E+32,4.34779E+36,875
1790573.885,3.20615E+12,5.74086E+18,1.02794E+25,1.84061E+31,3.29574E+37,5.90127E+43,1.05667E+50,38105,1451991025,5.53281E+13,2.10828E+18,8.03359E+22,3.0612E+27,1.16647E+32,4.44484E+36,857
1790435.807,3.20566E+12,5.73953E+18,1.02763E+25,1.8399E+31,3.29422E+37,5.89809E+43,1.05601E+50,38211,1460080521,5.57911E+13,2.13184E+18,8.14596E+22,3.11265E+27,1.18938E+32,4.54472E+36,840
1790295.785,3.20516E+12,5.73818E+18,1.0273E+25,1.83918E+31,3.29267E+37,5.89486E+43,1.05535E+50,38316,1468115856,5.62523E+13,2.15536E+18,8.25849E+22,3.16432E+27,1.21244E+32,4.64559E+36,822
1790153.803,3.20465E+12,5.73682E+18,1.02698E+25,1.83845E+31,3.29111E+37,5.89159E+43,1.05468E+50,38421,1476173241,5.67161E+13,2.17909E+18,8.37227E+22,3.21671E+27,1.23589E+32,4.74842E+36,804
1790008.881,3.20413E+12,5.73542E+18,1.02665E+25,1.83771E+31,3.28951E+37,5.88825E+43,1.054E+50,38526,1484252676,5.71823E+13,2.20301E+18,8.4873E+22,3.26982E+27,1.25973E+32,4.85324E+36,785
1789861.001,3.2036E+12,5.734E+18,1.02631E+25,1.83695E+31,3.28788E+37,5.88485E+43,1.05331E+50,38632,1492431424,5.76556E+13,2.22735E+18,8.6047E+22,3.32417E+27,1.28419E+32,4.96109E+36,767
1789711.177,3.20307E+12,5.73256E+18,1.02596E+25,1.83618E+31,3.28623E+37,5.8814E+43,1.0526E+50,38737,1500555169,5.8127E+13,2.25167E+18,8.72228E+22,3.37875E+27,1.30883E+32,5.07E+36,748
1789558.413,3.20252E+12,5.7311E+18,1.02561E+25,1.83539E+31,3.28455E+37,5.87789E+43,1.05188E+50,38842,1508700964,5.8601E+13,2.27618E+18,8.84113E+22,3.43407E+27,1.33386E+32,5.18099E+36,730
1789402.709,3.20196E+12,5.7296E+18,1.02526E+25,1.8346E+31,3.28283E+37,5.87431E+43,1.05115E+50,38947,1516868809,5.90775E+13,2.30089E+18,8.96128E+22,3.49015E+27,1.35931E+32,5.2941E+36,711
1789244.046,3.20139E+12,5.72808E+18,1.02489E+25,1.83378E+31,3.28109E+37,5.87066E+43,1.0504E+50,39053,1525136809,5.95612E+13,2.32604E+18,9.08389E+22,3.54753E+27,1.38542E+32,5.41047E+36,694
1789082.46,3.20082E+12,5.72652E+18,1.02452E+25,1.83295E+31,3.27931E+37,5.86695E+43,1.04965E+50,39158,1533348964,6.00429E+13,2.35116E+18,9.20667E+22,3.60515E+27,1.4117E+32,5.52795E+36,679
1788917.934,3.20023E+12,5.72494E+18,1.02415E+25,1.83211E+31,3.2775E+37,5.86318E+43,1.04887E+50,39263,1541583169,6.05272E+13,2.37648E+18,9.33077E+22,3.66354E+27,1.43842E+32,5.64765E+36,664
1788749.487,3.19962E+12,5.72333E+18,1.02376E+25,1.83125E+31,3.27565E+37,5.85931E+43,1.04808E+50,39368,1549839424,6.10141E+13,2.402E+18,9.4562E+22,3.72272E+27,1.46556E+32,5.76961E+36,649
1788579.062,3.19902E+12,5.72169E+18,1.02337E+25,1.83038E+31,3.27378E+37,5.85541E+43,1.04729E+50,39474,1558196676,6.15083E+13,2.42798E+18,9.5842E+22,3.78327E+27,1.49341E+32,5.89507E+36,633
1788404.734,3.19839E+12,5.72002E+18,1.02297E+25,1.82949E+31,3.27186E+37,5.85141E+43,1.04647E+50,39579,1566497241,6.20004E+13,2.45391E+18,9.71234E+22,3.84405E+27,1.52144E+32,6.02169E+36,618
1788227.465,3.19776E+12,5.71832E+18,1.02257E+25,1.82858E+31,3.26992E+37,5.84735E+43,1.04564E+50,39684,1574819856,6.24952E+13,2.48006E+18,9.84186E+22,3.90564E+27,1.54992E+32,6.15069E+36,602
1788045.295,3.19711E+12,5.71657E+18,1.02215E+25,1.82765E+31,3.26792E+37,5.84318E+43,1.04479E+50,39789,1583164521,6.29925E+13,2.50641E+18,9.97275E+22,3.96806E+27,1.57885E+32,6.28209E+36,586
1787859.187,3.19644E+12,5.71479E+18,1.02172E+25,1.8267E+31,3.26588E+37,5.83893E+43,1.04392E+50,39895,1591611025,6.34973E+13,2.53323E+18,1.01063E+23,4.03191E+27,1.60853E+32,6.41723E+36,570
1787669.176,3.19576E+12,5.71296E+18,1.02129E+25,1.82573E+31,3.2638E+37,5.83459E+43,1.04303E+50,40000,1600000000,6.4E+13,2.56E+18,1.024E+23,4.096E+27,1.6384E+32,6.5536E+36,553
1566187.406,2.45294E+12,3.84177E+18,6.01693E+24,9.42364E+30,1.47592E+37,2.31156E+43,3.62034E+49,40000,1600000000,6.4E+13,2.56E+18,1.024E+23,4.096E+27,1.6384E+32,6.5536E+36,947
1566016.429,2.45241E+12,3.84051E+18,6.0143E+24,9.4185E+30,1.47495E+37,2.3098E+43,3.61718E+49,40158,1612664964,6.47614E+13,2.60069E+18,1.04438E+23,4.19404E+27,1.68424E+32,6.76358E+36,926
1565842.512,2.45186E+12,3.83923E+18,6.01163E+24,9.41327E+30,1.47397E+37,2.308E+43,3.61397E+49,40316,1625379856,6.55288E+13,2.64186E+18,1.06509E+23,4.29403E+27,1.73118E+32,6.97942E+36,904
1565665.654,2.45131E+12,3.83793E+18,6.00892E+24,9.40795E+30,1.47297E+37,2.30618E+43,3.61071E+49,40474,1638144676,6.63023E+13,2.68352E+18,1.08613E+23,4.39599E+27,1.77923E+32,7.20127E+36,883
