// NON PREADJUSTED,,,,
WGT,WGT^2,ALT,ALT^2,ROC
1519126.227,2.30774E+12,15271,233203441,3503
1518304.034,2.30525E+12,16589,275194921,3348
1517471.075,2.30272E+12,17907,320660649,3199
1516624.426,2.30015E+12,19224,369562176,3057
1515764.056,2.29754E+12,20542,421973764,2917
1514889.001,2.29489E+12,21860,477859600,2780
1513996.32,2.29218E+12,23178,537219684,2644
1513084.068,2.28942E+12,24495,600005025,2508
1512150.254,2.28660E+12,25813,666310969,2365
1511190.973,2.28370E+12,27131,736091161,2222
1510203.285,2.28071E+12,28449,809345601,2080
1509182.302,2.27763E+12,29766,886014756,1940
1508122.116,2.27443E+12,31084,966215056,1781
1507012.939,2.27109E+12,32402,1049889604,1627
1505847.909,2.26758E+12,33720,1137038400,1494
1504619.201,2.26388E+12,35037,1227591369,1371
1504619.201,2.26388E+12,35037,1227591369,2024
1504342.599,2.26305E+12,35456,1257127936,1952
1504063.057,2.26221E+12,35875,1287015625,1880
1503762.916,2.26130E+12,36295,1317327025,1635
1503443.186,2.26034E+12,36714,1347917796,1569
1503116.596,2.25936E+12,37133,1378859689,1503
1502783.146,2.25836E+12,37552,1410152704,1436
1502441.857,2.25733E+12,37971,1441796841,1367
1502090.767,2.25628E+12,38390,1473792100,1298
1501728.897,2.25519E+12,38809,1506138481,1227
1501356.246,2.25407E+12,39228,1538835984,1166
1500972.816,2.25292E+12,39647,1571884609,1113
1500576.644,2.25173E+12,40066,1605284356,1059
1500167.732,2.25050E+12,40485,1639035225,1003
1499743.124,2.24923E+12,40905,1673219025,946
1499299.909,2.24790E+12,41324,1707672976,886
1498835.131,2.24651E+12,41743,1742478049,824
1498342.91,2.24503E+12,42162,1777634244,760
1497818.344,2.24346E+12,42581,1813141561,694
1497251.63,2.24176E+12,43000,1849000000,625
